Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,eigencentrality,clustering,triangles
KE,60,20580687.23,3,0.512968,0.564607,0.000993,0.069515,0.069515,0,0.001951,0.380988,0.76092,331
KM,16,618942,4,0.438424,0.469101,0.000086,0.014279,0.014279,4,0.000934,0.079155,0.75,21
KR,172,968654249.6,2,0.659259,0.741573,0.0383,0.157629,0.157629,0,0.031623,0.87283,0.383311,1401
KW,22,7198415.148,3,0.432039,0.468165,0.000011,0.023513,0.023513,0,0.001102,0.128468,0.963636,53
LB,62,102561642.8,3,0.51895,0.570225,0.000853,0.078722,0.078722,0,0.004237,0.432447,0.780645,363
LK,118,264415699.9,3,0.587459,0.660112,0.006724,0.12693,0.12693,0,0.009566,0.697404,0.562244,962
LY,46,8624059.266,4,0.475936,0.527154,0.000642,0.050733,0.050733,0,0.001262,0.278762,0.73913,187
MA,152,266144300.3,3,0.624561,0.708801,0.020726,0.145138,0.145138,0,0.011137,0.802389,0.412632,1176
MT,102,185203534.4,3,0.576052,0.639513,0.0097,0.109437,0.109437,0,0.007136,0.603732,0.550588,702
MU,64,49747630.95,3,0.521994,0.57397,0.001631,0.077187,0.077187,0,0.00306,0.42434,0.733871,364
MX,106,325621327.1,3,0.577922,0.644195,0.010108,0.107839,0.107839,3,0.012608,0.600244,0.504354,695
MY,160,780284156,3,0.640288,0.722846,0.023821,0.149783,0.149783,0,0.026898,0.824882,0.410443,1297
MZ,44,11211863.5,3,0.508571,0.546816,0.001718,0.044349,0.044349,4,0.002041,0.244385,0.636364,147
NG,68,75489837.87,3,0.536145,0.586142,0.000511,0.085654,0.085654,1,0.003897,0.471229,0.811052,455
NL,196,509908829.9,3,0.681992,0.772472,0.042256,0.172254,0.172254,0,0.019087,0.958423,0.341469,1623
OM,114,203846373,3,0.585526,0.655431,0.008318,0.119597,0.119597,0,0.007716,0.657506,0.549499,877
PK,84,144891800.6,3,0.552795,0.610487,0.004269,0.096501,0.096501,0,0.005754,0.53045,0.667828,575
PL,76,58038497.88,3,0.551084,0.60206,0.002568,0.087501,0.087501,0,0.003045,0.481553,0.658606,463
QA,60,69944008.38,3,0.532934,0.576779,0.000952,0.072597,0.072598,0,0.003092,0.398351,0.8,348
RE,64,24675112.17,3,0.521994,0.57397,0.001639,0.077093,0.077093,4,0.00217,0.423634,0.721774,358
RO,48,32965328.59,3,0.491713,0.539326,0.012058,0.055266,0.055266,0,0.002733,0.303112,0.753623,208
RU,124,73750862.84,3,0.593333,0.668539,0.014293,0.126591,0.126591,0,0.003735,0.698638,0.479112,906
SA,118,500627905.1,3,0.589404,0.661049,0.020222,0.123602,0.123602,0,0.017751,0.679898,0.542373,928
SC,32,4254777.984,3,0.421801,0.468165,0.00065,0.025233,0.025233,4,0.001406,0.138984,0.616667,74
SD,20,4118595.969,3,0.425837,0.460674,0.000091,0.022476,0.022476,0,0.001053,0.122903,0.844444,38
SG,182,1039207467,2,0.671698,0.755618,0.048222,0.164249,0.164249,0,0.035122,0.907133,0.365079,1495
SO,26,4054271.359,4,0.392936,0.435861,0.00055,0.01914,0.01914,0,0.001433,0.105213,0.615385,48
TH,84,174413299.5,3,0.561514,0.615169,0.00848,0.086407,0.086407,0,0.006846,0.477485,0.554007,477
TR,120,458564869.2,3,0.587459,0.661985,0.011961,0.120312,0.120312,0,0.017755,0.663397,0.486441,861
TW,142,570992592.6,3,0.620209,0.697566,0.023859,0.134375,0.134375,0,0.019079,0.744571,0.424145,1054
TZ,54,16018911.27,3,0.505682,0.554307,0.001791,0.058477,0.058477,0,0.001977,0.321133,0.709402,249
UA,66,51095828.96,3,0.536145,0.58427,0.002295,0.075642,0.075642,0,0.002779,0.416476,0.670455,354
US,208,1238689295,3,0.700787,0.790262,0.101181,0.170074,0.170074,0,0.047125,0.951627,0.310866,1665
VN,84,283814889,3,0.55625,0.61236,0.003021,0.096053,0.096053,0,0.009606,0.528608,0.639954,551
YT,22,1780440.5,4,0.44389,0.479401,0.000261,0.017037,0.017037,4,0.001166,0.09451,0.709091,39
ZA,88,157931742.2,3,0.557994,0.617041,0.002462,0.102185,0.102185,0,0.00644,0.561809,0.651163,616
GP,76,9166610.332,3,0.510029,0.577715,0.003658,0.05834,0.05834,3,0.002256,0.334422,0.59175,416
GY,52,5432581.023,3,0.489011,0.541199,0.001061,0.042274,0.042273,3,0.002024,0.242613,0.729231,237
JM,100,51266566.01,3,0.561514,0.63015,0.007693,0.091839,0.091839,3,0.004081,0.518236,0.541224,663
PR,46,6748697.758,4,0.475936,0.526685,0.00061,0.033433,0.033433,3,0.001338,0.193267,0.719368,182
SR,44,4195085.031,3,0.483696,0.529963,0.000536,0.040159,0.040159,3,0.001668,0.229037,0.792208,183
TT,66,14585029.86,3,0.498599,0.560861,0.002242,0.050897,0.050897,3,0.003547,0.292506,0.653409,345
CO,126,239910216.1,3,0.593333,0.670412,0.017138,0.1104,0.1104,3,0.012103,0.622038,0.453149,885
DO,118,106019040.1,3,0.579805,0.656367,0.013057,0.104642,0.104642,3,0.006537,0.589777,0.484512,829
VE,58,10628591.42,3,0.493075,0.549625,0.001618,0.044886,0.044886,3,0.00253,0.257674,0.642857,261
DZ,38,13892813.2,4,0.463542,0.5103,0.000429,0.047112,0.047112,0,0.001441,0.259316,0.783626,134
BR,78,463876698.8,3,0.544343,0.600187,0.00288,0.086692,0.086692,3,0.017127,0.482377,0.631579,468
CR,68,30057618.51,3,0.504249,0.566479,0.002537,0.063366,0.063366,3,0.002608,0.356181,0.607843,341
